"center_id","name","parent_place","phone","address","lat","lng","center_role","type","coverage_scope","detail_location","operating_hours","handoff_available","inquiry_available","website","source_type","source_url","verification_status","verified_at","confidence_score","partner_status","notes"
"konkuk_lost_center_candidate","건국대학교 분실물 종합관리센터","건국대학교","확인 필요","서울 광진구 능동로 120","37.5419742600841","127.078028032896","candidate_needs_call","university_lost_center_candidate","campus_wide","216(217)호로 표시되나 건물명 확인 필요","확인 필요","unknown","yes","https://www.konkuk.ac.kr/kuinc/28414/subview.do","official_university_page","https://www.konkuk.ac.kr/kuinc/28414/subview.do","needs_phone_verification","2026-08-05","60","non_partner","공식 검색 결과에서 분실물 종합관리센터와 216(217)호 단서 확인. 웹 방화벽 때문에 본문 세부 확인이 제한되어 전화/현장 확인 전 primary로 노출하지 않음."
"khu_student_support_cert_seoul","경희대학교 학생지원센터 제증명 서울캠퍼스","경희대학교","02-961-9335~7","서울 동대문구 경희대로 26","37.5949672138504","127.051806444172","primary","student_support_certificate_lost_center","campus_wide","청운관 학생지원존 내 학생지원센터 제증명","확인 필요","yes","yes","https://www.khu.ac.kr/kor/user/contents/view.do?menuNo=200187","official_university_page","https://www.khu.ac.kr/kor/user/contents/view.do?menuNo=200187","official_verified","2026-08-05","95","non_partner","공식 제증명 서비스 페이지에서 분실물 관리, 서울캠퍼스 위치, 문의 전화 확인. 접수는 제증명팀에 전달된 경우만 가능하다는 제한 포함."
"korea_onestop_humanities","고려대학교 ONE-STOP서비스센터 인문·사회계","고려대학교","02-3290-1141~5","서울 성북구 안암로 145","37.5888363125305","127.0333557589","primary","university_onestop_lost_center","humanities_social_sciences","중앙광장 지하 1층","09:00~17:30, 점심 12:00~13:00 확인됨","yes","yes","https://www.korea.ac.kr/ko/514/subview.do","official_university_page","https://www.korea.ac.kr/ko/514/subview.do; https://www.korea.ac.kr/ko/515/subview.do","official_verified","2026-08-05","100","non_partner","공식 One-Stop 안내와 유실물 처리 지침에서 유실물 처리, 인계, 보관, 게시, 반환 업무 확인."
"korea_onestop_natural_sciences","고려대학교 ONE-STOP서비스센터 자연계","고려대학교","02-3290-4090~2","서울 성북구 안암로 145","37.585098034289324","127.02647947997461","primary","university_onestop_lost_center","natural_sciences_engineering","하나스퀘어 지하 1층","09:00~17:30, 점심 12:00~13:00 확인됨","yes","yes","https://www.korea.ac.kr/ko/514/subview.do","official_university_page","https://www.korea.ac.kr/ko/514/subview.do; https://www.korea.ac.kr/ko/515/subview.do","official_verified","2026-08-05","100","non_partner","고려대는 서울캠퍼스 내 인문·사회계/자연계 One-Stop을 분리 운영. 두 센터 모두 유실물 처리 지침상 인계처로 사용 가능."
"korea_public_anam_jigu","안암지구대","고려대학교","02-920-1820","서울 성북구 지봉로21길 45","37.58672072369921","127.01659815312347","public_fallback","police_box","near_campus_public","","확인 필요","yes","yes","http://place.map.kakao.com/21264956","kakao_local_api","http://place.map.kakao.com/21264956","fallback_candidate","2026-08-05","70","non_partner","학교 내부 보관처가 아니라 공공 fallback."
"kw_student_welfare_lost_candidate","광운대학교 학생복지팀 분실물 문의 후보","광운대학교","02-940-5032","서울 노원구 광운로 20","37.6204544026231","127.059458644905","candidate_needs_call","student_welfare_contact_candidate","campus_wide","화도관 학생복지팀 확인 필요","확인 필요","unknown","yes","https://www.kw.ac.kr/ko/department/view.jsp?hpage=intro_0005","official_university_page","https://www.kw.ac.kr/ko/department/view.jsp?hpage=intro_0005","needs_phone_verification","2026-08-05","50","non_partner","공식 학생복지팀 페이지는 확인되지만 분실물 담당 여부는 직접 확인되지 않음. 단과대/행사 단위 분실물 공지가 존재해 후보로만 보관."
"kookmin_general_service_lost_candidate","국민대학교 종합서비스센터","국민대학교","확인 필요","서울 성북구 정릉로 77","37.6117513857032","126.997191186069","candidate_needs_call","general_service_center_lost_candidate","campus_wide","본부관 1층 종합서비스센터","확인 필요","unknown","yes","https://dormitory.kookmin.ac.kr/community/qna/1277?pn=107","official_dormitory_qna","https://dormitory.kookmin.ac.kr/community/qna/1277?pn=107","needs_phone_verification","2026-08-05","60","non_partner","국민대 생활관 공식 Q&A에서 분실물 문의를 본부관 1층 종합서비스센터로 안내. 생활관 페이지 footer 번호가 섞일 수 있어 실제 센터 전화와 현재 절차는 전화/웹 확인 필요."
"duksung_student_service_candidate","덕성여자대학교 학생서비스센터 분실물 문의 후보","덕성여자대학교","확인 필요","서울 도봉구 삼양로144길 33","37.6519955120103","127.016454023051","candidate_needs_call","student_service_contact_candidate","campus_wide","학생서비스센터 또는 학생회관 확인 필요","확인 필요","unknown","unknown","https://www.duksung.ac.kr/bbs/board.do?bsIdx=86&menuId=1264","official_university_page","https://www.duksung.ac.kr/bbs/board.do?bsIdx=86&menuId=1264","needs_phone_verification","2026-08-05","50","non_partner","공식 사이트에서 학생서비스센터 메뉴는 확인되나 현재 분실물 업무와 직통 연락처가 명확하지 않음. 보도자료성 단서가 있어 후보로만 보관."
"dongguk_student_service_center_lost","동국대학교 학생서비스센터 분실물습득","동국대학교","02-2260-8664","서울 중구 필동로1길 30","37.5585054284272","126.99945674567674","primary","student_service_lost_center","campus_wide","본관 3층 학생서비스센터","학기중 09:00~17:00, 방학중 10:00~17:00, 점심 12:00~13:00 미운영","yes","yes","https://www.dongguk.edu/article/LOSTANDFOUND/list","official_university_board","https://www.dongguk.edu/article/LOSTANDFOUND/detail/26762556","official_verified","2026-08-05","100","non_partner","공식 분실물습득 게시글에서 보관장소, 방문 수령, 운영시간, 문의 전화 확인."
"dongduk_student_support_lost","동덕여자대학교 학생지원팀 분실/습득물","동덕여자대학교","02-940-4059","서울 성북구 화랑로13길 60","37.6062007943046","127.042736098147","primary","student_support_lost_center","campus_wide","학생관 1층 학생지원팀 101호","확인 필요","yes","yes","https://www.dongduk.ac.kr/www/contents/kor-lost.do?id=78329&schBdcode=&schM=view","official_university_page","https://www.dongduk.ac.kr/www/contents/kor-lost.do?id=78329&schBdcode=&schM=view","official_verified","2026-08-05","100","non_partner","공식 분실/습득물 페이지에서 학생관 1층 학생지원팀 방문 확인. 학생지원팀 연락처는 공식 공지 기준."
